Blog	how	be	interesting	months	ago	video	made	its	way	around	internet	as	some	do	was	t	most	us	already	know	about	great	are	often	different	but	all	there	or	something	bit	why	so	he	an	called	their	get	people	attention	others	don	found	become	because	they	true	i	were	into	what	really	bad	thing	good	not	them	thought	instead	wrong	we	had	isn	new	his	up	million	only	has	another	over	might	first	youtube	ever	when	years	been	doing	year	both	if	look	makes	things	think	can	many	ve	now	re	love	m	took	d	long	our	time	put	much	take	keep	out	just	go	through	idea	need	little	com	media	b	your	like	making	than	even	got	still	work	would	world	book	business	show	should	me	share	more	run	design	life	system	where	by	story	have	no	said	him	down	recently	few	team	question	company	did	come	every	person	wrote	told	small	actually	big	following	day	everyone	own	via	amazon	site	online	next	week	spent	hours	during	one	getting	else	since	then	help	never	make	such	want	words	case	may	saying	future	real	yet	didn	important	ll	feel	will	latest	each	create	open	please	free	give	find	too	always	say	she	my	see	her	use	support	app	also	working	part	project	writing	blog	talk	lot	any	better	between	well	space	which	less	looking	after	today	old	school	nothing	here	very	clear	back	two	name	change	right	twitter	short	started	hit	finally	away	whole	u	doesn	does	someone	other	play	game	those	who	later	home	night	job	enough	money	wanted	tv	won	done	being	while	tech	off	talking	apple	google	customers	sure	place	ways	tell	going	end	saw	left	results	state	let	three	web	using	these	went	probably	could	last	times	gets	used	hard	top	month	page	days	before	says	th	report	shows	account	september	same	past	again	email	perhaps	co	though	almost	without	phone	best	second	once	likely	point	myself	set	high	watch	live	read	whether	post	trump	president	man	houston	news	pay	am	cool	data	face	kind	government	harvey	especially	white	stop	buy	college	press	morning	special	according	number	full	several	record	easy	content	everything	nbsp	security	against	program	camera	american	facebook	series	house	hurricane	ready	america	appeared
PaulStamatiou.com - Technology, Design and Photography	94	173	9	13	11	65	20	13	48	52	5	213	90	79	214	187	28	13	21	27	126	25	114	17	8	154	62	109	173	52	47	25	134	19	132	14	38	127	42	3	6	47	21	5	9	88	14	834	45	65	98	21	4	22	31	150	47	19	25	2	160	91	3	94	18	121	4	117	42	32	46	24	60	0	4	128	19	30	8	22	13	162	51	11	31	26	172	23	44	90	68	9	55	6	34	19	56	91	30	96	26	21	88	144	27	33	9	64	6	24	9	12	245	139	14	45	43	26	47	63	116	17	36	3	13	36	75	17	126	37	83	20	22	38	115	8	173	64	10	3	33	9	64	22	3	3	28	17	26	2	12	2	16	37	11	3	26	9	42	22	28	45	7	39	21	4	9	14	110	32	7	37	56	15	16	42	17	54	3	15	19	7	11	29	8	24	7	56	21	124	4	18	20	16	6	7	13	31	35	24	11	0	267	42	3	102	22	50	82	53	40	38	15	14	5	9	56	66	27	41	6	38	14	11	46	1	21	0	9	38	30	5	27	35	14	17	25	58	12	25	9	5	13	12	0	16	24	6	57	11	5	20	8	18	19	5	7	21	3	32	6	17	22	21	76	9	53	6	3	76	5	20	17	7	13	39	20	3	8	2	8	26	9	23	57	37	7	18	52	41	24	8	41	18	11	22	42	16	31	4	0	0	44	18	0	36	6	9	9	2	2	26	8	25	43	21	16	5	7	21	10	20	13	3	9	49	2	38	0	2	1	1	18	4	10	4	40	2	5	0	0	8	3	3	7	2	4	3	2	0	28	12	9	18	16	7	19	6	1	3	5	25	0	2	4	11	0	7	0	2
O'Reilly Radar	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	1	0	0	0	2	0	0	1	6	1	1	0	0	0	0	0	3	0	2	0	1	0	0	0	1	2	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	2	1	0	3	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	2	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	2	0	0	0	0	0	0	2	1	0	0	1	0	1	2	4	1	1	0	1	7	0	1	2	0	0	0	2	7	1	0	0	0	0	1	1	1	0	3	0	0	3	0	0	0	4	0	1	0	0	3	1	0	2	1	5	0	0	0	0	2	0	0	0	0	2	0	2	1	0	0	0	1	0	1	2	0	0	2	0	0	2	0	1	1	1	2	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	4	0	2	0	2	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	4	24	1	0	2	1	2	15	2	1	9	29	7	6	23	14	8	6	1	3	9	2	22	1	3	19	7	3	9	1	0	1	7	1	24	1	15	4	7	3	0	2	7	0	5	9	0	11	6	5	7	3	2	1	1	12	2	0	3	0	26	3	2	11	0	6	4	1	14	3	7	1	2	0	1	7	6	17	2	7	2	2	1	2	1	0	12	3	2	9	5	0	0	0	2	2	14	10	1	3	1	2	7	5	4	4	1	3	2	1	9	0	1	9	5	2	4	0	7	4	2	5	0	1	2	3	0	2	26	1	0	1	3	4	30	15	23	5	13	0	0	0	7	3	0	8	1	0	0	0	1	1	0	1	2	1	0	3	3	1	4	1	2	5	0	4	0	2	9	1	1	1	1	0	0	3	1	3	0	1	7	1	4	2	2	1	1	0	1	22	2	0	3	10	0	3	1	1	1	0	0	1	1	5	0	7	4	0	10	0	3	1	0	3	0	0	3	0	0	5	1	16	3	1	3	4	1	2	1	0	2	4	4	4	1	5	0	2	0	1	0	0	4	0	5	0	2	2	6	0	0	9	15	2	1	2	3	1	0	2	4	2	2	4	4	9	2	0	9	26	3	2	1	1	1	3	0	0	0	0	2	0	0	9	3	5	1	0	5	3	2	2	4	2	7	3	2	1	0	1	0	9	4	2	0	2	1	2	0	0	0	0	1	4	0	0	0	1	3	0	0	2	1	0	2	16	0	2	0	2	0	0	1	2	0	0	4	1	0	3	0	2	5	0	1	2	2	0	2	9	4	0	7	0	2	1	0	0	9	1	2	5	0	4	3	2	0	2	0	0
ThinkProgress	1	3	0	0	0	0	0	3	0	0	0	7	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	1	3	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	0	6	2	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	6	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	13	5	1	2	3	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	2	4	0	1	0
The Dish	6	11	0	0	2	0	2	0	0	4	2	21	1	3	10	15	5	3	0	6	9	0	7	2	1	10	6	3	3	0	0	3	6	3	9	0	7	2	5	0	1	4	1	1	1	8	0	38	1	1	9	0	1	1	0	6	0	2	0	0	18	4	1	2	11	7	1	3	8	2	3	1	4	0	0	5	11	6	1	3	0	2	3	0	3	1	4	3	3	2	2	7	1	1	1	6	4	6	0	2	1	1	3	4	3	4	3	0	2	1	0	0	12	0	0	4	4	0	2	3	1	7	3	0	0	3	11	0	7	0	0	1	1	0	12	3	5	6	4	0	1	4	0	0	2	0	2	0	1	1	1	1	0	0	2	2	9	0	1	0	0	2	0	1	1	0	0	2	10	0	1	2	7	0	2	2	0	1	4	1	1	1	0	1	1	3	0	3	0	5	2	0	0	2	3	0	0	2	1	1	1	1	17	0	1	1	2	0	0	0	3	0	2	6	2	0	1	2	1	1	0	2	1	2	2	1	3	0	2	2	1	0	3	1	0	0	0	0	3	1	0	0	0	0	3	1	0	0	2	0	1	2	5	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	1	0	0	1	0	0	5	1	2	1	3	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	3	0	3	2	0	1	1	2	0	0	0	0	2	0	1	0	1	0	1	9	0	4	0	1	1	0	2	0	2	0	0	3	0	0	0	0	0	0	0	2	0	2	0	2	1	0	0	1	0	2	0	0	0	1	0	2	0	0	0	2	0	0	2	0
WIL WHEATON dot NET	10	19	0	1	2	0	8	3	7	2	1	26	15	20	55	31	2	5	5	11	27	3	12	0	0	34	22	10	19	6	5	6	32	9	12	6	6	12	7	2	2	4	0	0	19	14	1	260	9	19	13	8	2	14	11	16	14	4	2	1	15	11	2	3	7	19	1	4	5	0	4	0	12	1	6	23	7	16	11	0	0	20	6	3	12	5	16	5	18	6	10	5	26	4	9	7	4	15	6	7	2	3	14	16	6	1	4	5	8	0	0	0	9	38	4	10	13	10	10	10	11	4	7	0	4	4	36	3	10	0	0	7	0	6	13	7	19	2	10	1	5	1	7	2	1	0	4	2	2	3	1	3	4	5	2	0	1	1	3	0	1	0	1	6	6	3	4	0	14	5	2	4	7	1	8	10	1	21	4	2	3	0	1	3	2	4	4	8	10	6	1	1	2	1	0	1	1	2	3	3	2	0	55	6	6	1	3	0	5	2	1	1	8	1	1	9	6	2	3	3	12	7	1	1	4	7	2	2	3	9	3	1	11	3	3	5	1	5	5	1	0	1	3	0	0	0	0	4	8	9	12	1	20	4	0	1	3	1	0	7	2	5	4	6	4	0	2	2	0	0	0	3	3	0	1	7	2	4	2	0	0	3	0	0	2	4	2	3	2	2	0	1	0	1	0	0	1	4	3	1	2	0	0	0	0	1	0	2	0	0	0	2	1	4	1	1	0	1	0	5	4	4	1	1	2	6	0	1	0	1	0	0	0	2	7	5	0	2	2	0	0	2	0	0	3	0	0	1	0	2	0	1	2	1	0	0	3	2	0	2	0	1	0	0	2	2	0	0	0	0
43 Folders	60	96	2	4	3	14	28	9	36	10	3	123	28	74	84	128	41	21	13	40	105	14	50	19	7	93	58	33	105	23	7	32	75	39	45	3	19	50	54	9	4	46	1	12	57	48	9	469	16	21	73	77	6	33	26	120	22	10	4	6	67	26	0	28	28	45	0	22	28	10	29	16	29	0	26	30	16	31	16	14	8	59	5	5	55	31	85	20	40	41	48	15	47	2	45	21	35	46	3	37	10	10	44	70	21	7	6	21	28	17	2	6	83	68	11	36	50	2	20	59	20	13	25	8	4	16	82	4	69	6	10	32	4	20	101	6	74	37	14	12	9	1	13	2	3	2	13	5	12	8	2	6	2	14	25	2	16	8	13	1	1	2	1	3	11	2	4	2	47	11	7	5	25	30	26	45	6	26	1	3	15	11	8	19	6	8	13	37	7	53	0	13	0	4	16	8	4	10	14	20	21	29	188	18	17	11	3	8	27	7	17	3	4	5	22	39	38	27	3	24	1	45	16	2	10	13	10	0	7	28	29	7	25	10	3	13	24	4	3	2	3	6	7	4	0	18	5	7	22	6	2	27	70	5	6	5	19	15	5	5	4	10	10	17	10	0	13	4	1	2	3	10	7	5	17	7	7	1	2	2	0	17	3	10	8	24	2	8	24	13	3	13	6	16	2	2	4	7	13	13	1	0	0	1	1	9	8	10	11	3	0	2	13	12	1	14	8	4	4	21	8	3	0	6	8	43	14	2	0	0	7	0	1	3	14	3	3	5	9	0	0	8	0	11	5	2	0	7	5	0	9	7	2	1	5	1	12	1	0	4	0	0	2	1	0	2	0	8	1	0
456 Berea Street	4	6	0	0	2	0	0	7	1	0	0	5	5	5	6	11	3	0	1	0	2	1	6	2	5	9	3	6	9	0	2	2	6	0	4	0	3	2	3	0	0	4	1	0	1	1	0	30	3	1	2	3	0	0	1	4	2	2	1	0	2	1	3	0	0	2	0	1	3	0	4	0	0	0	2	7	1	3	1	0	1	4	6	0	1	3	6	4	3	1	0	0	0	0	3	1	0	0	0	0	1	1	1	1	1	1	0	3	1	0	0	0	1	3	2	6	3	0	0	1	0	0	0	0	0	0	2	1	2	0	2	0	0	1	3	0	8	2	0	0	4	0	0	0	0	0	0	1	2	0	2	0	2	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	3	1	0	2	1	2	1	5	0	1	0	1	5	0	0	0	0	1	1	0	0	5	0	2	0	0	0	0	1	1	2	1	0	0	3	4	0	9	1	0	1	1	1	0	1	0	0	1	3	0	0	4	0	4	0	0	3	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	4	3	1	0	0	1	0	0	1	2	0	2	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	10	0	4	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	1	1	12	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Autoblog	0	4	0	0	0	4	1	5	1	0	0	9	0	1	2	6	0	3	1	0	0	0	11	0	0	6	4	0	8	1	0	0	1	2	11	0	1	1	3	0	0	1	1	0	0	0	0	3	0	3	2	0	0	0	0	5	0	0	0	4	10	1	0	4	2	2	3	3	5	0	9	1	2	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	5	1	0	0	0	0	4	1	42	0	0	0	1	0	4	5	1	1	6	3	1	0	0	5	0	0	0	4	2	5	1	0	0	1	0	0	8	0	3	0	4	2	0	6	3	0	3	0	7	5	2	0	1	0	0	4	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	10	0	0	0	0	0	0	0	0	1	0	3	1	0	8	1	3	1	0	0	0	4	3	0	0	0	39	0	0	1	0	0	0	0	0	44	0	40	0	0	0	1	0	7	0	0	0	1	0	2	0	0	1	1	1	1	5	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	3	7	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	7	0	4	0	1	0	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	1	1	4	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	39	0	0	0	0	3	0	0	3	0	1	0	0	1	0	8	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	7	9	0	0	3	1	0	0	0	0	3	3	0	0	0	0	0	0	156	0	3	0	0	0	0	0	3	0	0	4	39
The Write News	0	2	0	1	0	6	0	1	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	2	0	1	0	0	0	0	1	2	0	0	0	0	1	5	0	0	0	2	0	0	0	0	3	1	3	0	4	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
blog maverick	1	2	0	0	1	0	0	0	0	0	1	1	3	3	3	4	1	3	0	1	2	0	6	0	0	2	2	4	4	0	0	1	0	1	1	1	1	1	1	0	0	2	0	0	0	0	0	11	2	2	2	0	0	0	0	5	1	0	0	1	8	1	2	1	0	1	0	0	1	0	0	0	0	0	0	3	0	2	0	2	0	2	0	0	0	1	1	0	0	1	0	1	1	2	0	2	3	2	0	0	1	0	2	0	3	1	0	0	0	3	2	0	1	2	0	4	2	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	0	4	0	6	3	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	1	0	0	0	1	1	1	0	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	2	2	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Boing Boing	19	23	0	2	0	3	6	9	6	4	1	33	8	8	61	28	8	8	3	5	11	6	24	1	2	29	14	11	19	3	4	1	13	40	22	9	12	15	4	1	3	5	5	1	7	19	1	54	15	12	16	1	4	3	6	19	11	3	3	0	46	24	1	13	27	17	3	4	11	1	9	5	5	2	3	14	7	9	0	2	7	12	1	2	7	1	18	6	4	10	6	1	2	4	3	6	27	16	3	6	5	2	10	8	2	7	1	4	0	3	3	0	22	12	3	6	8	8	4	6	18	6	13	3	3	4	15	0	24	1	0	4	2	2	26	4	12	13	10	14	4	2	0	1	0	4	2	3	1	5	2	9	4	0	3	0	5	2	6	4	1	0	1	6	5	3	3	1	23	2	0	4	5	5	5	7	7	3	4	1	4	1	1	3	1	5	0	6	2	6	1	6	1	0	2	1	2	3	2	0	3	10	8	3	18	2	0	0	8	1	6	4	1	1	1	10	6	2	5	2	0	8	1	2	16	3	3	3	4	11	9	8	5	4	0	4	3	1	1	1	1	1	1	2	2	3	4	1	9	0	2	8	16	2	0	2	7	1	1	2	1	1	1	3	6	0	3	3	0	22	1	1	1	1	4	4	5	2	0	4	4	1	3	0	6	7	1	2	12	4	2	1	4	0	2	2	0	1	5	0	3	2	0	2	3	3	2	2	3	2	2	4	0	5	7	0	2	2	0	2	2	5	3	4	0	15	2	5	2	2	15	0	6	1	1	2	0	3	4	3	3	1	0	1	0	3	5	4	1	2	2	1	4	2	3	0	4	6	2	1	0	0	0	0	1	1	2	3	1	1
BuzzMachine	2	2	0	0	0	0	0	2	0	0	0	5	0	4	2	6	1	1	0	1	5	0	5	0	0	2	2	2	0	0	0	0	3	5	6	1	0	0	1	0	1	0	0	0	1	1	0	18	0	1	7	1	1	0	0	1	3	0	0	1	10	2	3	4	1	2	1	1	0	1	3	1	17	0	0	1	4	0	0	0	0	0	0	0	0	0	4	2	2	4	0	0	2	0	0	0	8	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	1	2	0	0	0	0	1	1	0	3	0	1	0	0	0	0	0	5	0	2	0	4	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	2	4	0	0	0	0	1	3	0	2	0	2	0	4	1	0	0	0	1	0	0	0	1	1	2	3	8	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	1	1	5	0	0	1	0	0	4	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	2	0	0	1	1	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	1	0	0	18	0	3	0	0	0	0	1	0	0	0	2	0	0	5	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	2	11	0	0	0	0	0	15
Captain's Quarters	1	4	0	2	1	0	0	3	0	0	0	4	1	0	1	1	0	3	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	6	0	0	0	0	0	0	1	0	2	0	3	0	2	0	0	1	0	0	3	0	0	0	1	1	3	0	0	6	1	0	1	7	1	1	0	2	0	0	2	2	2	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	4	0	0	1	0	0	0	0	1	0	0	0	0	2	1	1	1	1	1	1	0	0	1	2	2	0	3	2	0	0	3	0	4	4	2	1	0	1	2	0	1	0	0	0	3	0	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	3	1	0	0	0	0	0	0	1	0	0	1	2	0	1	1	0	0	2	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	3	2	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
Copyblogger	5	2	0	0	0	0	0	0	1	1	2	2	2	2	0	5	0	3	1	2	4	0	2	0	0	1	1	0	5	4	0	0	1	0	3	0	0	4	3	0	0	1	0	0	1	3	1	7	0	4	0	2	0	2	1	4	1	0	1	0	4	0	1	7	0	1	0	2	2	0	0	0	11	0	0	3	0	1	0	0	0	3	0	0	0	0	11	1	2	1	0	1	0	0	0	1	1	6	0	0	2	0	4	2	0	0	0	3	0	0	0	0	14	1	0	1	1	0	0	1	0	1	0	9	0	0	0	0	11	0	0	0	0	2	1	0	3	1	2	0	0	0	1	2	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	1	4	8	0	0	0	0	1	1	0	0	1	1	4	0	7	1	0	0	0	0	1	0	0	1	0	0	3	0	0	5	3	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	11	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	10
Latest from Crooks and Liars	2	10	0	0	0	0	1	2	1	0	0	14	1	3	7	5	4	1	0	3	9	0	12	0	0	10	4	5	1	1	0	1	2	12	4	1	4	0	3	0	1	1	0	0	3	11	0	17	4	5	3	5	1	4	0	13	4	0	0	0	8	4	0	2	11	1	0	7	5	0	0	0	0	0	2	4	0	8	0	0	0	2	1	0	0	5	3	2	4	2	0	0	2	1	2	1	3	3	0	4	0	0	6	1	0	0	0	4	0	0	2	0	1	3	1	4	5	2	0	1	1	1	0	0	1	3	2	0	12	0	0	0	2	0	3	0	7	2	2	6	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	3	2	0	2	1	2	1	0	3	3	0	0	3	4	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2	0	2	1	0	0	0	1	0	0	0	0	0	3	2	2	0	0	3	0	2	1	1	3	1	0	2	0	2	1	0	0	1	0	0	0	1	0	0	1	0	1	0	4	0	4	2	2	0	0	2	10	0	0	1	5	2	0	1	0	1	1	2	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	4	1	0	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	3	0	1	0	0	0	0	0	2	0	0	4	3	0	8	0	1	10	9	0	3	2	0	4	1	0	0	1	1	7	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	2	0	0	2	0	0	0	0	0	1	6	1	2	0
